name,online_order,book_table,rate,votes,rest_type,cuisines,cost2plates,type,location
Om Sri Vinayaka Chats,No,No,3,0,"Takeaway, Delivery",others,500,Delivery,Banashankari
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4,558,Quick Bites,South Indian,150,Delivery,Banashankari
Devanna Dum Biriyani Centre,Yes,No,3,28,Quick Bites,"Biryani, South Indian",300,Delivery,Banashankari
Kolbeh,No,No,3,22,Quick Bites,Fast Food,500,Delivery,Banashankari
Upahar Sagar,No,No,3,39,Quick Bites,"South Indian, Chinese, North Indian",350,Delivery,Banashankari
Kadalu Sea Food Restaurant,Yes,No,3,153,others,others,500,Delivery,Banashankari
Frozen Bottle,Yes,No,4,146,others,others,400,Delivery,Banashankari
Parimala Sweets,No,No,3,14,others,"Mithai, Street Food",200,Delivery,Banashankari
Vaishali Deluxe,No,No,3,42,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
Chill Out,No,No,3,0,Quick Bites,"South Indian, Chinese",100,Delivery,Banashankari
The Big O Bakes,No,No,4,66,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Meghana Foods,Yes,No,4,4401,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery,Banashankari
Krishna Sagar,No,No,3,31,Quick Bites,North Indian,200,Delivery,Banashankari
Dessert Rose,No,No,3,7,Dessert Parlor,Desserts,500,Delivery,Banashankari
Chickpet Donne Biryani House,No,No,3,21,Quick Bites,Biryani,250,Delivery,Banashankari
Me And My Cake,No,No,3,0,Delivery,"Bakery, Desserts",500,Delivery,Banashankari
Sunsadm,No,No,3,0,"Takeaway, Delivery",South Indian,400,Delivery,Banashankari
Annapooraneshwari Mess,No,No,3,0,others,South Indian,200,Delivery,Banashankari
Thanco's Natural Ice Creams,No,No,3,9,Dessert Parlor,Ice Cream,300,Delivery,Banashankari
Nandhini Deluxe,No,No,2,283,Casual Dining,North Indian,600,Delivery,Banashankari
Vi Ra's Bar and Restaurant,No,No,3,62,others,"South Indian, North Indian, Chinese",800,Delivery,Banashankari
Kaggis,No,No,3,64,Quick Bites,others,250,Delivery,Banashankari
Ayda Persian Kitchen,No,No,3,39,Casual Dining,others,950,Delivery,Banashankari
Chatar Patar,No,No,3,65,Quick Bites,others,300,Delivery,Banashankari
Polar Bear,Yes,No,3,71,Dessert Parlor,others,400,Delivery,Banashankari
Kidambi's Kitchen,No,No,3,52,Quick Bites,South Indian,300,Delivery,Banashankari
Mane Thindi,No,No,3,130,Quick Bites,South Indian,200,Delivery,Banashankari
Kotian Karavali Restaurant,No,No,3,10,Quick Bites,"South Indian, Biryani",300,Delivery,Banashankari
Floured-Baked With Love,No,No,3,45,"Takeaway, Delivery",Bakery,400,Delivery,Banashankari
CAFE NOVA,No,No,3,11,Cafe,"Cafe, Bakery",600,Delivery,Banashankari
Cakes & Slices,No,No,3,13,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Spice 9,No,No,3,8,Quick Bites,others,300,Delivery,Banashankari
Coffee Shopee,No,No,3,0,"Takeaway, Delivery",Beverages,250,Delivery,Banashankari
Naveen Kabab & Biriyani Mane,No,No,3,9,Quick Bites,Biryani,300,Delivery,Banashankari
Katriguppe Donne Biryani,No,No,3,4,Quick Bites,North Indian,300,Delivery,Banashankari
Hari Super Sandwich,No,No,3,0,"Takeaway, Delivery",others,200,Delivery,Banashankari
Atithi Point Ande Ka Funda,No,No,3,29,Quick Bites,North Indian,150,Delivery,Banashankari
