name,online_order,book_table,rate,votes,rest_type,cuisines,cost2plates,type,location
Beetle Juice Bar - Springs Hotel & Spa,No,Yes,3,64,others,Finger Food,2200,Dine-out,Basavanagudi
Cafe Aira,Yes,No,4,216,Cafe,others,500,Dine-out,Basavanagudi
Cafe Mondo,Yes,No,3,514,Cafe,others,600,Dine-out,Basavanagudi
Little Cafe,Yes,No,3,54,Cafe,others,600,Dine-out,Basavanagudi
A2B Veg - Adyar Ananda Bhavan,Yes,No,2,97,Casual Dining,others,400,Dine-out,Basavanagudi
MG's Fine Dining & Bar - Springs Hotel & Spa,No,Yes,3,21,Casual Dining,others,800,Dine-out,Basavanagudi
Curry Leaves,Yes,No,4,176,Casual Dining,others,800,Dine-out,Basavanagudi
House Of Kebabs,Yes,No,3,540,Casual Dining,others,650,Dine-out,Basavanagudi
1980s Games Cafe,Yes,No,3,58,Cafe,"Cafe, Fast Food",400,Dine-out,Basavanagudi
RS Shiv Sagar,No,No,3,217,Casual Dining,others,450,Dine-out,Basavanagudi
South Point Pub,Yes,No,3,11,others,others,800,Dine-out,Basavanagudi
Swadd Kitchen,Yes,No,3,4,Casual Dining,"North Indian, Fast Food",500,Dine-out,Basavanagudi
Ma-Arya Family Restaurant,No,No,3,61,Casual Dining,others,600,Dine-out,Basavanagudi
Cafe Coffee Day,Yes,No,2,30,Cafe,"Cafe, Fast Food",900,Dine-out,Basavanagudi
Pramukh Family Restaurant,No,No,3,111,Casual Dining,others,700,Dine-out,Basavanagudi
Upahara Darshini,Yes,No,3,40,Casual Dining,others,600,Dine-out,Basavanagudi
New Prashanth Hotel,No,No,2,34,Casual Dining,others,750,Dine-out,Basavanagudi
Old Days North Indian Restaurant,No,No,3,0,Casual Dining,North Indian,450,Dine-out,Basavanagudi
Shringar Sweets & Snacks,Yes,No,3,11,others,others,200,Dine-out,Basavanagudi
B & B The Pub,No,No,3,29,"Casual Dining, Bar",others,1000,Dine-out,Basavanagudi
The Upper Deck - Raaj Residency,Yes,No,3,35,Casual Dining,"North Indian, Chinese",800,Dine-out,Basavanagudi
Chai Mane,No,No,3,6,others,others,100,Dine-out,Basavanagudi
Anand Sagar Inn,No,No,3,6,Casual Dining,"South Indian, North Indian, Chinese",450,Dine-out,Basavanagudi
Parijatha,No,No,3,0,Casual Dining,"South Indian, Chinese",400,Dine-out,Basavanagudi
Belly Squad Food Truck,No,No,3,55,others,others,300,Dine-out,Basavanagudi
Gandharva Family Restaurant,No,No,3,36,Casual Dining,"North Indian, Chinese",900,Dine-out,Basavanagudi
Mavalli Tiffin Room (MTR),No,No,4,2896,Quick Bites,South Indian,250,Dine-out,Basavanagudi
Vidyarthi Bhavan,No,No,4,4460,Quick Bites,South Indian,150,Dine-out,Basavanagudi
Brahmin's Coffee Bar,No,No,4,2679,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Eat Repeat,Yes,No,3,101,Quick Bites,South Indian,150,Dine-out,Basavanagudi
Kabab Magic,Yes,No,4,1720,Quick Bites,others,400,Dine-out,Basavanagudi
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4,558,Quick Bites,South Indian,150,Dine-out,Basavanagudi
Energy Addaa,Yes,No,4,64,Quick Bites,others,500,Dine-out,Basavanagudi
Karnataka Bhel House,Yes,No,4,449,Quick Bites,Street Food,100,Dine-out,Basavanagudi
KFC,Yes,No,3,319,Quick Bites,"Burger, Fast Food",400,Dine-out,Basavanagudi
Bhavani Restaurant,No,No,3,100,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out,Basavanagudi
Chinese Kitchen,Yes,No,3,58,Quick Bites,Chinese,150,Dine-out,Basavanagudi
McDonald's,Yes,No,3,276,Quick Bites,"Burger, Fast Food",500,Dine-out,Basavanagudi
Hotel Dwarka,No,No,4,253,Quick Bites,South Indian,250,Dine-out,Basavanagudi
Vijayalakshmi,Yes,No,3,47,Quick Bites,South Indian,200,Dine-out,Basavanagudi
Puliyogare Point,Yes,No,4,444,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Hari Super Sandwich,No,No,4,279,Quick Bites,others,200,Dine-out,Basavanagudi
South Kitchen,Yes,No,4,275,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Udupi Sri Krishna Bhavan,No,No,4,238,Quick Bites,South Indian,600,Dine-out,Basavanagudi
Goli Vada Pav No. 1,Yes,No,3,93,Quick Bites,Street Food,200,Dine-out,Basavanagudi
Udupi Grand,Yes,No,3,74,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out,Basavanagudi
Ice Thunder,No,No,3,124,Quick Bites,others,300,Dine-out,Basavanagudi
Millet Mama,Yes,No,3,18,Quick Bites,others,200,Dine-out,Basavanagudi
Domino's Pizza,Yes,No,3,770,Quick Bites,"Pizza, Fast Food",400,Dine-out,Basavanagudi
Upahara Darshini,No,No,4,257,Quick Bites,South Indian,150,Dine-out,Basavanagudi
Chinese Square,Yes,No,3,49,Quick Bites,Chinese,200,Dine-out,Basavanagudi
Cool Corner,No,No,4,196,Quick Bites,others,250,Dine-out,Basavanagudi
Sandwichwallas,Yes,No,4,133,Quick Bites,Fast Food,200,Dine-out,Basavanagudi
Twiststick House,Yes,No,4,169,Quick Bites,others,500,Dine-out,Basavanagudi
By 2 Coffee,Yes,No,3,28,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Kamat Bugle Rock,Yes,No,3,549,Quick Bites,"South Indian, Fast Food",300,Dine-out,Basavanagudi
Mahalaxmi Tiffin Room,No,No,4,181,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Lalbagh Grand,Yes,No,3,23,Quick Bites,"South Indian, North Indian, Chinese",250,Dine-out,Basavanagudi
Pizza Hut,Yes,No,2,142,Quick Bites,"Pizza, Fast Food",750,Dine-out,Basavanagudi
Polar Bear,Yes,No,3,75,Dessert Parlor,others,400,Dine-out,Basavanagudi
Kaulige Millet Corner,No,No,3,4,Quick Bites,others,150,Dine-out,Basavanagudi
Ganesh Grand,No,No,3,32,Quick Bites,others,300,Dine-out,Basavanagudi
Kadala Tarangaa,Yes,No,3,50,Quick Bites,others,300,Dine-out,Basavanagudi
Right Pizza,Yes,No,3,0,Quick Bites,Pizza,300,Dine-out,Basavanagudi
Chinese Corner,No,No,2,34,Quick Bites,Chinese,200,Dine-out,Basavanagudi
Basavanagudi Mylari,No,No,4,53,Quick Bites,South Indian,300,Dine-out,Basavanagudi
Mulabagilu Dosa,Yes,No,3,13,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Kolkata King,Yes,No,3,7,Quick Bites,"Fast Food, Rolls",300,Dine-out,Basavanagudi
Mezban Family Restaurant,Yes,No,3,0,Quick Bites,"Chinese, North Indian",300,Dine-out,Basavanagudi
Subway,Yes,No,3,177,Quick Bites,others,500,Dine-out,Basavanagudi
New Modern Hotel,No,No,4,280,Quick Bites,South Indian,150,Dine-out,Basavanagudi
The Sip Shop,Yes,No,3,5,Quick Bites,others,200,Dine-out,Basavanagudi
Sri Krishna Veg,No,No,3,4,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Shrinidhi Military Hotel,No,No,3,8,Quick Bites,"North Indian, Mughlai",300,Dine-out,Basavanagudi
Ganesh Chats,No,No,3,8,Quick Bites,others,100,Dine-out,Basavanagudi
New Udupi Anand Bhavan,No,No,3,5,Quick Bites,South Indian,150,Dine-out,Basavanagudi
Hotel Janatha,No,No,4,52,Quick Bites,South Indian,150,Dine-out,Basavanagudi
Mota Bawarchi,No,No,3,0,Quick Bites,others,300,Dine-out,Basavanagudi
New Chickpete Donne Biryani,Yes,No,3,68,Quick Bites,Biryani,250,Dine-out,Basavanagudi
Dakshin Kitchen,No,No,3,16,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Nammura Donne Biriyani,Yes,No,3,160,Quick Bites,others,400,Dine-out,Basavanagudi
Chaatimes,Yes,No,3,142,Quick Bites,others,200,Dine-out,Basavanagudi
New Shanthi Sagar,No,No,2,51,Quick Bites,"South Indian, North Indian, Chinese, Street Food",600,Dine-out,Basavanagudi
The Chaat Shop,No,No,2,35,Quick Bites,Fast Food,200,Dine-out,Basavanagudi
Shree Venkateshwara North Karnataka Hotel,No,No,4,65,Quick Bites,South Indian,200,Dine-out,Basavanagudi
Faasos,Yes,No,3,6,Quick Bites,others,500,Dine-out,Basavanagudi
Aahar Cafe,No,No,3,0,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Arya Vysya Refreshment,No,No,3,0,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Victoria Terminus,No,No,3,0,Quick Bites,others,250,Dine-out,Basavanagudi
Shreyas Upahar & Burger Point,Yes,No,3,10,Quick Bites,others,200,Dine-out,Basavanagudi
Sri Krishna Darshini,No,No,3,4,Quick Bites,"South Indian, North Indian, Chinese",200,Dine-out,Basavanagudi
Kamat Minerva,Yes,No,2,72,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out,Basavanagudi
Juice Junction Food Court,Yes,No,3,57,Quick Bites,others,200,Dine-out,Basavanagudi
Food Geek,Yes,No,3,25,Quick Bites,others,350,Dine-out,Basavanagudi
Great Indian Rolls,Yes,No,3,4,Quick Bites,others,100,Dine-out,Basavanagudi
Kesar Rajasthani Parotha Point,Yes,No,3,34,Quick Bites,others,200,Dine-out,Basavanagudi
Kholi Mane,No,No,3,46,Quick Bites,others,450,Dine-out,Basavanagudi
Harshi Super Sandwich,No,No,3,150,Quick Bites,others,150,Dine-out,Basavanagudi
Idly Mane,No,No,3,0,Quick Bites,others,200,Dine-out,Basavanagudi
Oasis Food Center,No,No,3,0,Quick Bites,Fast Food,150,Dine-out,Basavanagudi
Hotel Trupthi,No,No,3,0,Quick Bites,"South Indian, Chinese, North Indian",200,Dine-out,Basavanagudi
Shri Vinayaka Ice N Juice,No,No,3,12,Quick Bites,"Beverages, Fast Food",150,Dine-out,Basavanagudi
Inchara Restaurant,Yes,No,3,4,Quick Bites,"North Indian, Chinese",300,Dine-out,Basavanagudi
Sri Idli Mane,No,No,3,16,Quick Bites,South Indian,150,Dine-out,Basavanagudi
Chamarajpet Non Veg Restaurant,No,No,3,13,Quick Bites,"South Indian, Biryani",200,Dine-out,Basavanagudi
Sri Vasavi Mane Thindi,No,No,2,16,Quick Bites,South Indian,150,Dine-out,Basavanagudi
New Banashankari Donne Biryani,No,No,3,13,Quick Bites,"Biryani, North Indian",300,Dine-out,Basavanagudi
Ganga Sagar,No,No,3,29,Quick Bites,Street Food,150,Dine-out,Basavanagudi
Joshi's Mumbai Masala,No,No,3,6,Quick Bites,others,150,Dine-out,Basavanagudi
Uphara Kendra,No,No,3,34,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Hotel Girish,No,No,3,9,Quick Bites,South Indian,300,Dine-out,Basavanagudi
Gowdru Military Hotel,No,No,3,6,Quick Bites,others,150,Dine-out,Basavanagudi
50-50 EATING HOUSE,No,No,3,4,Quick Bites,"South Indian, Biryani",100,Dine-out,Basavanagudi
Lumbini Snax,No,No,3,6,Quick Bites,others,300,Dine-out,Basavanagudi
Chamrajpet Kabab Junction,No,No,3,4,Quick Bites,"North Indian, Mughlai",250,Dine-out,Basavanagudi
Subzero Korner,No,No,3,5,Quick Bites,Fast Food,250,Dine-out,Basavanagudi
Garage Pizza,No,No,3,4,Quick Bites,Pizza,400,Dine-out,Basavanagudi
Om Shiva Shakthi Chats Centre,No,No,3,26,Quick Bites,others,300,Dine-out,Basavanagudi
Swarga Ruchi,Yes,No,3,12,Quick Bites,South Indian,200,Dine-out,Basavanagudi
Rolls Corner,No,No,3,22,Quick Bites,"Fast Food, Rolls",150,Dine-out,Basavanagudi
Swathi Upahara,No,No,3,0,Quick Bites,others,350,Dine-out,Basavanagudi
Brahmin Tiffins & Coffee,No,No,3,0,Quick Bites,others,100,Dine-out,Basavanagudi
Pailwan House,No,No,3,0,Quick Bites,others,350,Dine-out,Basavanagudi
Mama Mys Cafe,No,No,3,0,Quick Bites,Fast Food,300,Dine-out,Basavanagudi
Sticke2Waffles,No,No,3,0,Dessert Parlor,"Desserts, Ice Cream",100,Dine-out,Basavanagudi
Pizza Stop,Yes,No,3,166,Quick Bites,others,600,Dine-out,Basavanagudi
Happy Chopsticks,Yes,No,3,18,Quick Bites,others,300,Dine-out,Basavanagudi
Roofnic,No,No,3,9,Quick Bites,"Fast Food, Beverages",300,Dine-out,Basavanagudi
Five Star Chicken,Yes,No,3,34,Quick Bites,Fast Food,200,Dine-out,Basavanagudi
Burger King,Yes,No,4,157,Quick Bites,others,600,Dine-out,Basavanagudi
Rajastani Rasoi,No,No,3,6,Quick Bites,North Indian,100,Dine-out,Basavanagudi
Ambur Dum Biriyani,No,No,3,0,Quick Bites,Biryani,250,Dine-out,Basavanagudi
Food Plaza,No,No,3,0,Quick Bites,"South Indian, North Indian, Chinese",150,Dine-out,Basavanagudi
Subz,Yes,Yes,4,2049,Casual Dining,"North Indian, South Indian",1000,Dine-out,Basavanagudi
Meghana Foods,Yes,No,4,4569,Casual Dining,others,600,Dine-out,Basavanagudi
Gufha - The President Hotel,Yes,Yes,4,1903,Casual Dining,others,1200,Dine-out,Basavanagudi
1947,No,Yes,4,2359,Casual Dining,"North Indian, Chinese",950,Dine-out,Basavanagudi
Go Native,Yes,Yes,4,1302,others,others,800,Dine-out,Basavanagudi
Chutney Chang,Yes,Yes,4,2365,Casual Dining,others,1500,Dine-out,Basavanagudi
Once Upon a Rooftop,No,Yes,4,1278,"Casual Dining, Bar",others,1000,Dine-out,Basavanagudi
Thyme & Whisk,Yes,No,4,109,Casual Dining,others,800,Dine-out,Basavanagudi
Fusion Theory,Yes,Yes,4,336,Casual Dining,others,700,Dine-out,Basavanagudi
Toscano,Yes,Yes,4,1161,Casual Dining,others,1300,Dine-out,Basavanagudi
Ranganna Military Hotel,No,No,4,760,Quick Bites,"South Indian, Biryani",350,Dine-out,Basavanagudi
Kapoor's Cafe,Yes,No,4,201,Casual Dining,North Indian,800,Dine-out,Basavanagudi
Central Jail Restaurant,Yes,No,3,429,Casual Dining,others,700,Dine-out,Basavanagudi
Alchemy Coffee Roasters,No,No,4,737,Cafe,Cafe,500,Dine-out,Basavanagudi
Andhra Ruchulu,Yes,Yes,4,682,"Casual Dining, Bar",others,1000,Dine-out,Basavanagudi
Brew Meister,Yes,Yes,4,1008,others,others,1500,Dine-out,Basavanagudi
Rooftop Cafe,Yes,No,4,825,Cafe,others,400,Dine-out,Basavanagudi
Mini Punjabi Dhaba,Yes,No,4,325,Quick Bites,North Indian,350,Dine-out,Basavanagudi
Empire Restaurant,Yes,No,4,5060,Casual Dining,others,750,Dine-out,Basavanagudi
Jalsa,Yes,Yes,4,804,Casual Dining,"North Indian, Mughlai, Chinese",800,Dine-out,Basavanagudi
Jalpaan,Yes,Yes,4,884,Casual Dining,"North Indian, Continental",900,Dine-out,Basavanagudi
Nagarjuna Chimney,No,No,4,950,Casual Dining,"Andhra, Biryani",600,Dine-out,Basavanagudi
Biryanis And More,Yes,No,4,631,Casual Dining,others,750,Dine-out,Basavanagudi
Enerjuvate Studio & Cafe,No,Yes,4,731,Cafe,others,800,Dine-out,Basavanagudi
Salut,Yes,Yes,4,442,others,others,1200,Dine-out,Basavanagudi
Fabcafe,No,Yes,3,0,Cafe,others,800,Dine-out,Basavanagudi
Wamama,Yes,Yes,4,354,Casual Dining,others,800,Dine-out,Basavanagudi
Cafe Cosy,No,Yes,4,102,Cafe,others,800,Dine-out,Basavanagudi
Patio 805,Yes,Yes,4,364,Casual Dining,others,1200,Dine-out,Basavanagudi
Rajathadri Food Fort,Yes,No,4,465,Casual Dining,"South Indian, North Indian, Chinese, Street Food",600,Dine-out,Basavanagudi
Mangalore Pearl,Yes,No,3,242,Casual Dining,others,650,Dine-out,Basavanagudi
Vinny's,Yes,Yes,4,2115,Casual Dining,others,800,Dine-out,Basavanagudi
The Caramelts Cafe,No,No,4,223,Cafe,others,800,Dine-out,Basavanagudi
Prems Graama Bhojanam,Yes,No,4,322,Casual Dining,South Indian,400,Dine-out,Basavanagudi
Eurasia Pasta and Barbeque by Little Italy,Yes,Yes,4,1063,"Casual Dining, Bar",others,1200,Dine-out,Basavanagudi
Karma Kaapi,Yes,No,4,181,others,others,250,Dine-out,Basavanagudi
Peppy Peppers,No,No,4,244,Casual Dining,others,800,Dine-out,Basavanagudi
Saarangi Fine Dining,No,No,3,284,Casual Dining,"North Indian, Chinese, South Indian",450,Dine-out,Basavanagudi
Chung's Chinese Corner,Yes,No,3,221,Casual Dining,Chinese,700,Dine-out,Basavanagudi
Gustoes Beer House,No,No,4,868,others,others,1200,Dine-out,Basavanagudi
SlimSins Cafe,No,No,4,707,Cafe,others,850,Dine-out,Basavanagudi
Cafe Ajfan,Yes,No,4,261,Cafe,others,700,Dine-out,Basavanagudi
Jcubez,No,Yes,3,977,others,Finger Food,1300,Dine-out,Basavanagudi
Cafe Shuffle,Yes,Yes,4,150,Cafe,others,600,Dine-out,Basavanagudi
Krazzy Folds,Yes,Yes,4,1901,Cafe,others,800,Dine-out,Basavanagudi
Mayuri,No,No,4,104,Casual Dining,"North Indian, Chinese",650,Dine-out,Basavanagudi
Penthouse Cafe,Yes,No,4,324,Cafe,others,700,Dine-out,Basavanagudi
The Blue Wagon - Kitchen,Yes,No,4,228,Cafe,others,400,Dine-out,Basavanagudi
Smacznego,Yes,No,4,504,Cafe,others,550,Dine-out,Basavanagudi
Golden Oak - La Marvella Sarovar Premiere Hotel,No,Yes,4,370,Casual Dining,others,1000,Dine-out,Basavanagudi
Szechuan Dragon,Yes,No,4,1647,Casual Dining,"Chinese, Thai, Momos",600,Dine-out,Basavanagudi
The Airos,Yes,No,4,130,Cafe,others,650,Dine-out,Basavanagudi
The Royal Corner - Pai Viceroy,Yes,Yes,4,815,Casual Dining,"North Indian, Chinese",900,Dine-out,Basavanagudi
Halli Jonne Biriyani,No,No,4,380,Quick Bites,"Biryani, Kebab",400,Dine-out,Basavanagudi
La Casa,No,Yes,3,571,Casual Dining,others,800,Dine-out,Basavanagudi
Punjabi Raswada,Yes,Yes,3,431,Casual Dining,North Indian,800,Dine-out,Basavanagudi
Maiyas,Yes,No,4,1778,Quick Bites,others,200,Dine-out,Basavanagudi
Starbucks,No,No,4,108,Cafe,"Cafe, Desserts",700,Dine-out,Basavanagudi
The Krishna Grand Xpress,Yes,No,4,136,Quick Bites,"South Indian, Fast Food",350,Dine-out,Basavanagudi
Euki,Yes,Yes,4,553,Casual Dining,others,900,Dine-out,Basavanagudi
Udupi Sri Krishna Cafe,Yes,No,3,14,Casual Dining,"North Indian, South Indian",600,Dine-out,Basavanagudi
Thamboola,Yes,No,3,135,Casual Dining,"North Indian, Chinese, Continental",800,Dine-out,Basavanagudi
San Churro Cafe,Yes,No,3,918,others,others,800,Dine-out,Basavanagudi
J Spice,Yes,No,3,59,Casual Dining,"North Indian, Chinese",750,Dine-out,Basavanagudi
Kailash Parbat,No,No,3,71,others,"South Indian, Chinese, North Indian",1200,Dine-out,Basavanagudi
Empark Inn Restaurant,No,No,3,38,Quick Bites,"North Indian, Chinese, South Indian",350,Dine-out,Basavanagudi
Ragoo's,Yes,No,3,233,Casual Dining,others,800,Dine-out,Basavanagudi
Vietnamese Kitchen,Yes,No,3,105,Casual Dining,others,700,Dine-out,Basavanagudi
Desi Inn,Yes,No,3,13,Quick Bites,North Indian,300,Dine-out,Basavanagudi
Sukh Sagar,Yes,No,3,155,Casual Dining,"South Indian, North Indian, Chinese, Street Food",450,Dine-out,Basavanagudi
Revoli Hotel,No,No,3,21,Casual Dining,"South Indian, Chinese",450,Dine-out,Basavanagudi
Bengaluru Cafe,No,No,4,134,Quick Bites,South Indian,150,Dine-out,Basavanagudi
Cafe Vivacity,Yes,No,3,90,Cafe,Cafe,650,Dine-out,Basavanagudi
Swathi Deluxe Restaurant,Yes,No,3,73,Casual Dining,North Indian,500,Dine-out,Basavanagudi
De Thaali,Yes,No,3,144,Casual Dining,others,550,Dine-out,Basavanagudi
The Lounge - Eden Park Restaurants,No,Yes,3,151,others,others,1350,Dine-out,Basavanagudi
Roving Feast,No,No,4,1047,Quick Bites,others,450,Dine-out,Basavanagudi
Hara Fine Dine,Yes,Yes,4,633,Casual Dining,"North Indian, Chinese",800,Dine-out,Basavanagudi
Nandhini Deluxe,No,No,3,334,Casual Dining,North Indian,600,Dine-out,Basavanagudi
Hotel New Karavali,Yes,No,3,133,Quick Bites,others,300,Dine-out,Basavanagudi
Al-Madina Restaurant,No,No,3,22,Casual Dining,others,400,Dine-out,Basavanagudi
NV Naidu Hotel,No,No,3,36,Quick Bites,Biryani,250,Dine-out,Basavanagudi
Taj Restaurant,No,No,3,68,Quick Bites,"North Indian, Biryani",400,Dine-out,Basavanagudi
Vakulaa Veg Restaurant,Yes,No,3,49,Quick Bites,"South Indian, North Indian",200,Dine-out,Basavanagudi
Blue Wings Bar & Restaurant,No,No,3,43,others,"North Indian, Chinese",700,Dine-out,Basavanagudi
Anand Sweets and Savouries,No,No,3,46,others,"Mithai, Street Food",400,Dine-out,Basavanagudi
Brahmin Tiffins & Coffee,No,No,4,421,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Upahara Darshini,Yes,No,3,339,Quick Bites,"South Indian, North Indian, Chinese",400,Dine-out,Basavanagudi
Alfa Family Restaurant,No,No,3,27,Casual Dining,others,400,Dine-out,Basavanagudi
Cafe Terra,Yes,No,3,0,Cafe,"Cafe, Continental",700,Dine-out,Basavanagudi
Kirthi's Biryani,Yes,No,3,144,Cafe,others,700,Dine-out,Basavanagudi
The Krishna Grand,Yes,No,3,888,Casual Dining,others,750,Dine-out,Basavanagudi
Clove Rooftop,No,Yes,3,235,Casual Dining,others,1000,Dine-out,Basavanagudi
New Imperial Restaurant,No,No,3,39,Casual Dining,"North Indian, Chinese",450,Dine-out,Basavanagudi
La Grande Cafe,No,No,3,46,Cafe,Cafe,400,Dine-out,Basavanagudi
Rustic Stove,Yes,No,3,577,Casual Dining,others,900,Dine-out,Basavanagudi
Pure & Natural,Yes,No,3,211,Casual Dining,others,500,Dine-out,Basavanagudi
Bhattara Bhojana,Yes,No,3,66,Quick Bites,South Indian,150,Dine-out,Basavanagudi
Sri Laxmi Venkateshwara Coffee Bar,No,No,4,343,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Food Springs,Yes,No,4,232,Quick Bites,"South Indian, Chinese",400,Dine-out,Basavanagudi
Magic Meals,Yes,No,3,47,others,others,400,Dine-out,Basavanagudi
Uphar Dharshni,No,No,3,15,Quick Bites,"South Indian, North Indian",150,Dine-out,Basavanagudi
English Channel,No,No,3,47,others,Finger Food,1200,Dine-out,Basavanagudi
Tree Top,Yes,No,3,74,Casual Dining,others,1000,Dine-out,Basavanagudi
Sarvam's,No,Yes,3,44,Casual Dining,others,550,Dine-out,Basavanagudi
Samskruti - Sanman Gardenia,Yes,No,4,139,Casual Dining,"North Indian, Chinese, South Indian",550,Dine-out,Basavanagudi
Messy Bowl,No,No,3,70,Quick Bites,"Fast Food, Beverages",500,Dine-out,Basavanagudi
Petoo,Yes,No,3,20,Quick Bites,others,800,Dine-out,Basavanagudi
Utsav Restaurant,Yes,No,3,61,Quick Bites,"North Indian, Chinese",300,Dine-out,Basavanagudi
Mystique Palate,Yes,No,4,337,Quick Bites,others,300,Dine-out,Basavanagudi
The Trundle,Yes,No,3,133,Casual Dining,others,700,Dine-out,Basavanagudi
J K Fish Land,Yes,No,3,35,Quick Bites,others,300,Dine-out,Basavanagudi
Fanoos Xprss,Yes,No,3,53,Quick Bites,others,400,Dine-out,Basavanagudi
Udupi Upachar,Yes,No,3,6,Quick Bites,"South Indian, North Indian",500,Dine-out,Basavanagudi
Parimala Sweets,No,No,3,14,others,"Mithai, Street Food",200,Dine-out,Basavanagudi
Parivar,Yes,No,3,109,Casual Dining,"North Indian, Chinese",500,Dine-out,Basavanagudi
Brahmin Cafe,No,No,3,19,Quick Bites,South Indian,150,Dine-out,Basavanagudi
Starlite Bakery & Fastfood,Yes,No,3,23,Quick Bites,others,300,Dine-out,Basavanagudi
Iyengar's Inn,No,No,4,52,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Bella,Yes,Yes,3,142,Casual Dining,others,1000,Dine-out,Basavanagudi
Spicy Tandoor,No,No,3,0,Quick Bites,North Indian,150,Dine-out,Basavanagudi
Kaapi Kendra,Yes,No,3,14,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Sandwich Hub,Yes,No,3,12,Quick Bites,others,300,Dine-out,Basavanagudi
Bangalore Agarwal Bhavan,Yes,No,3,134,Quick Bites,others,400,Dine-out,Basavanagudi
Naidu Military Hotel,No,No,2,26,Casual Dining,others,600,Dine-out,Basavanagudi
The Sofraah Kebabs & Kurries - Eden Park Restaurants,No,Yes,3,176,Casual Dining,others,1350,Dine-out,Basavanagudi
Grazers,Yes,Yes,3,291,Cafe,others,650,Dine-out,Basavanagudi
Dose Manjanna,No,No,3,0,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Hotel Mangala,No,No,3,88,Quick Bites,South Indian,250,Dine-out,Basavanagudi
Rolls On Wheels,No,No,3,145,Quick Bites,others,300,Dine-out,Basavanagudi
Vasudev Adiga's,No,No,3,265,Quick Bites,others,250,Dine-out,Basavanagudi
Trendz Corner,No,No,3,31,Quick Bites,"South Indian, North Indian",200,Dine-out,Basavanagudi
Matru Sagar,Yes,No,3,84,Quick Bites,"South Indian, North Indian, Chinese",250,Dine-out,Basavanagudi
Fishland Deluxe,No,No,3,9,Quick Bites,others,500,Dine-out,Basavanagudi
Hungry Lion,No,No,3,16,Quick Bites,others,200,Dine-out,Basavanagudi
36th Cross Coffee Mane,No,No,3,16,Quick Bites,others,200,Dine-out,Basavanagudi
Chilli Flakes,Yes,No,3,46,Quick Bites,others,500,Dine-out,Basavanagudi
SLV Swadishta,No,No,3,189,Quick Bites,South Indian,300,Dine-out,Basavanagudi
Kolbeh,No,No,3,22,Quick Bites,Fast Food,500,Dine-out,Basavanagudi
Karavali Family Restaurant,Yes,No,3,90,Casual Dining,others,500,Dine-out,Basavanagudi
The Grillo,Yes,Yes,2,80,Casual Dining,others,500,Dine-out,Basavanagudi
Thrilok Restaurant,No,No,3,9,Quick Bites,others,350,Dine-out,Basavanagudi
Bunt's Biriyani Palace,Yes,No,3,213,Quick Bites,others,400,Dine-out,Basavanagudi
Upahar Sagar,No,No,3,39,Quick Bites,"South Indian, Chinese, North Indian",350,Dine-out,Basavanagudi
Nandhi Andhra Style Family Restaurant,Yes,No,3,13,Quick Bites,others,400,Dine-out,Basavanagudi
Davanagere Benne Dose Hut,Yes,No,3,10,Quick Bites,South Indian,100,Dine-out,Basavanagudi
Anand Donne Biriyani,Yes,No,3,45,Quick Bites,Biryani,200,Dine-out,Basavanagudi
Adda,No,No,3,5,Quick Bites,South Indian,300,Dine-out,Basavanagudi
New Sagar Fast Food,No,No,3,71,Quick Bites,"North Indian, South Indian",250,Dine-out,Basavanagudi
The Yellow Chilli,Yes,Yes,3,584,Casual Dining,others,1200,Dine-out,Basavanagudi
Desi Cream Junction,Yes,Yes,3,36,Casual Dining,others,650,Dine-out,Basavanagudi
Namma Biryani,Yes,No,3,24,Quick Bites,others,250,Dine-out,Basavanagudi
Kababs N Biryani,Yes,No,3,22,Quick Bites,South Indian,200,Dine-out,Basavanagudi
Udupi Upahar,Yes,No,3,58,Quick Bites,others,300,Dine-out,Basavanagudi
Tandoori Knight,Yes,No,3,290,Quick Bites,others,450,Dine-out,Basavanagudi
Brew Bakes,No,No,3,13,Cafe,others,550,Dine-out,Basavanagudi
Karavali Fish Center,No,No,3,10,Quick Bites,others,300,Dine-out,Basavanagudi
Adiga's,No,No,3,55,Quick Bites,South Indian,150,Dine-out,Basavanagudi
